path,number-of-record,catalog
583$ind1,6874,loc
583$a,6716,loc
583$b,214,loc
583$c,5282,loc
583$d,33,loc
583$e,4,loc
583$f,34,loc
583$h,4245,loc
583$i,35,loc
583$j,42,loc
583$k,306,loc
583$l,4421,loc
583$u,14,loc
583$x,36,loc
583$z,960,loc
583$2,4365,loc
583$3,136,loc
583$5,6153,loc
583$ind1,2778518,dnb
583$a,2453133,dnb
583$c,242,dnb
583$h,528,dnb
583$i,2444523,dnb
583$2,333997,dnb
583$3,1,dnb
583$5,8612,dnb
583$ind1,62663,onb
583$a,1361,onb
583$c,440,onb
583$f,496,onb
583$h,70,onb
583$i,169,onb
583$k,6541,onb
583$l,54755,onb
583$n,8,onb
583$x,1,onb
583$z,88,onb
583$2,767,onb
583$3,160,onb
583$5,738,onb
583$ind1,29124,nfi
583$a,29124,nfi
583$c,593,nfi
583$f,6,nfi
583$h,593,nfi
583$l,592,nfi
583$u,1,nfi
583$z,1,nfi
583$9,1,nfi
583$ind1,22744,libris
583$a,22726,libris
583$b,19,libris
583$c,84,libris
583$d,7,libris
583$e,1,libris
583$f,7,libris
583$h,5,libris
583$i,25,libris
583$j,3,libris
583$k,149,libris
583$l,16,libris
583$u,12,libris
583$x,9,libris
583$z,108,libris
583$2,29,libris
583$3,5,libris
583$5,21765,libris
583$8,15,libris
583$ind1,42,bnpl
583$a,42,bnpl
583$c,21,bnpl
583$h,20,bnpl
583$k,1,bnpl
583$l,20,bnpl
583$2,20,bnpl
583$3,1,bnpl
583$5,20,bnpl
583$ind1,2335,kbr
583$#,2331,kbr
583$a,236,kbr
583$2,2100,kbr
583$5,2100,kbr
583$ind1,239,nli
583$a,239,nli
583$b,174,nli
583$c,213,nli
583$d,1,nli
583$f,6,nli
583$i,213,nli
583$j,1,nli
583$k,1,nli
583$n,21,nli
583$o,7,nli
583$u,1,nli
583$x,76,nli
583$2,16,nli
583$3,1,nli
583$5,18,nli
583$ind1,181,kb
583$a,81,kb
583$l,179,kb
583$5,82,kb
583$ind1,1,oszk
583$a,1,oszk
