catalogue,leader07_bibliographicLevel_ss,leader06_typeOfRecord_ss,count
bnpl,Monograph/Item,"Language material",2696589
bnpl,Monograph/Item,"Two-dimensional nonprojectable graphic",232115
bnpl,Monograph/Item,"Notated music",109107
bnpl,Monograph/Item,"Musical sound recording",85526
bnpl,Monograph/Item,"Cartographic material",81978
bnpl,Monograph/Item,"Projected medium",33798
bnpl,Monograph/Item,"Nonmusical sound recording",12462
bnpl,Monograph/Item,"Manuscript language material",5944
bnpl,Monograph/Item,"Manuscript notated music",4653
bnpl,Monograph/Item,"Computer file",3287
bnpl,Monograph/Item,"Three-dimensional artifact or naturally occurring object",261
bnpl,Monograph/Item,"Manuscript cartographic material",242
bnpl,Monograph/Item,"Mixed materials",4
bnpl,Monograph/Item,Kit,1
bnpl,"Monographic component part","Language material",2357171
bnpl,"Monographic component part","Manuscript language material",28
bnpl,"Monographic component part","Computer file",13
bnpl,"Monographic component part",n,5
bnpl,"Monographic component part"," ",1
bnpl,"Monographic component part","Notated music",1
bnpl,Serial,"Language material",90719
bnpl,Serial,"Computer file",12
bnpl,Serial,"Musical sound recording",1
bnpl,Subunit,"Manuscript language material",25586
bnpl,Subunit,"Language material",18
bnpl,Subunit,"Notated music",1
bnpl,Subunit,"Two-dimensional nonprojectable graphic",1
bnpl," "," ",20
bnpl," ",z,3
bnpl," ",s,1
bnpl,Collection,"Manuscript language material",21
bnpl,Collection,"Language material",3
bnpl,8,4,1
bnpl,8,l,1
bnpl,"Integrating resource","Language material",2
bnpl,"Serial component part","Language material",2
bnpl,j,n,1
bayern,Monograph/Item,"Language material",22301715
bayern,Monograph/Item,"Computer file",1804154
bayern,Monograph/Item,"Notated music",628162
bayern,Monograph/Item,"Cartographic material",331835
bayern,Monograph/Item,"Musical sound recording",215842
bayern,Monograph/Item,"Projected medium",139824
bayern,Monograph/Item,"Manuscript language material",99552
bayern,Monograph/Item,"Manuscript notated music",30566
bayern,Monograph/Item,Kit,21514
bayern,Monograph/Item,"Two-dimensional nonprojectable graphic",11438
bayern,Monograph/Item,"Three-dimensional artifact or naturally occurring object",1340
bayern,Monograph/Item,"Manuscript cartographic material",714
bayern,"Monographic component part","Language material",2527759
bayern,"Monographic component part","Computer file",155380
bayern,"Monographic component part","Cartographic material",50718
bayern,"Monographic component part","Musical sound recording",47135
bayern,"Monographic component part","Manuscript notated music",39830
bayern,"Monographic component part","Projected medium",20835
bayern,"Monographic component part","Notated music",1047
bayern,"Monographic component part","Two-dimensional nonprojectable graphic",141
bayern,"Monographic component part","Manuscript cartographic material",121
bayern,"Monographic component part","Manuscript language material",69
bayern,"Monographic component part",Kit,61
bayern,Serial,"Language material",868835
bayern,Serial,"Computer file",207866
bayern,Serial,"Notated music",3320
bayern,Serial,"Musical sound recording",1820
bayern,Serial,"Projected medium",606
bayern,Serial,"Cartographic material",469
bayern,Serial,"Two-dimensional nonprojectable graphic",164
bayern,Serial,Kit,28
bayern,Serial,"Manuscript language material",11
bayern,Serial,"Three-dimensional artifact or naturally occurring object",4
bayern,"Integrating resource","Computer file",11792
bayern,"Integrating resource","Language material",6723
bayern,"Integrating resource","Cartographic material",31
bayern,"Integrating resource",Kit,19
bayern,"Integrating resource","Notated music",3
bayern,"Integrating resource","Projected medium",3
bayern,"Integrating resource","Two-dimensional nonprojectable graphic",1
bayern,Subunit,"Manuscript language material",134
bayern,Collection,"Two-dimensional nonprojectable graphic",16
bayern,Collection,"Manuscript language material",1
ddb,Monograph/Item,"Language material",1049942
ddb,Monograph/Item,"Notated music",30354
ddb,Monograph/Item,"Manuscript language material",11622
ddb,Monograph/Item,"Manuscript notated music",3987
ddb,Monograph/Item,"Cartographic material",3841
ddb,Monograph/Item,"Computer file",1642
ddb,Monograph/Item,"Manuscript cartographic material",226
ddb,Monograph/Item,"Projected medium",116
ddb,Monograph/Item,"Two-dimensional nonprojectable graphic",60
ddb,"Serial component part","Language material",148491
ddb,"Serial component part","Computer file",1
ddb,"Monographic component part","Language material",1045
ddb,"Monographic component part","Cartographic material",654
ddb,"Monographic component part","Manuscript notated music",10
ddb,"Monographic component part","Notated music",7
ddb,Serial,"Computer file",586
ddb,Serial,"Language material",2
ddb,Subunit,"Manuscript language material",7
ddb,"Integrating resource","Language material",3
ddb,"Integrating resource","Computer file",1
loc,Monograph/Item,"Language material",11257511
loc,Monograph/Item,"Musical sound recording",449891
loc,Monograph/Item,"Cartographic material",331045
loc,Monograph/Item,"Notated music",136081
loc,Monograph/Item,"Projected medium",120310
loc,Monograph/Item,"Two-dimensional nonprojectable graphic",81418
loc,Monograph/Item,"Nonmusical sound recording",58720
loc,Monograph/Item,"Computer file",10683
loc,Monograph/Item,"Manuscript notated music",8036
loc,Monograph/Item,"Manuscript language material",6451
loc,Monograph/Item,"Manuscript cartographic material",2816
loc,Monograph/Item,"Mixed materials",1339
loc,Monograph/Item,"Three-dimensional artifact or naturally occurring object",36
loc,Monograph/Item,Kit,17
loc,Serial,"Language material",1276194
loc,Serial,"Cartographic material",2039
loc,Serial,"Computer file",269
loc,Serial,"Projected medium",122
loc,Serial,"Nonmusical sound recording",115
loc,Serial,"Notated music",31
loc,Serial,"Musical sound recording",14
