rank,term,date,count
0,Boekenveilingen.,1599,1
0,Boekenveilingen.,1609,1
0,Boekenveilingen.,1610,1
0,Boekenveilingen.,1617,1
0,Boekenveilingen.,1623,1
0,Boekenveilingen.,1628,1
0,Boekenveilingen.,1638,1
0,Boekenveilingen.,1640,1
0,Boekenveilingen.,1643,1
0,Boekenveilingen.,1645,1
0,Boekenveilingen.,1646,1
0,Boekenveilingen.,1654,1
0,Boekenveilingen.,1656,2
0,Boekenveilingen.,1658,1
0,Boekenveilingen.,1662,1
0,Boekenveilingen.,1663,1
0,Boekenveilingen.,1665,1
0,Boekenveilingen.,1674,1
0,Boekenveilingen.,1678,2
0,Boekenveilingen.,1679,3
0,Boekenveilingen.,1680,1
0,Boekenveilingen.,1681,4
0,Boekenveilingen.,1682,8
0,Boekenveilingen.,1684,1
0,Boekenveilingen.,1685,1
0,Boekenveilingen.,1686,1
0,Boekenveilingen.,1687,1
0,Boekenveilingen.,1688,2
0,Boekenveilingen.,1689,2
0,Boekenveilingen.,1690,1
0,Boekenveilingen.,1693,1
0,Boekenveilingen.,1694,1
0,Boekenveilingen.,1695,3
0,Boekenveilingen.,1696,4
0,Boekenveilingen.,1697,3
0,Boekenveilingen.,1698,10
0,Boekenveilingen.,1699,5
0,Boekenveilingen.,1700,4
0,Boekenveilingen.,1701,2
0,Boekenveilingen.,1702,1
0,Boekenveilingen.,1703,2
0,Boekenveilingen.,1704,1
0,Boekenveilingen.,1705,3
0,Boekenveilingen.,1706,3
0,Boekenveilingen.,1707,2
0,Boekenveilingen.,1708,1
0,Boekenveilingen.,1709,1
0,Boekenveilingen.,1710,1
0,Boekenveilingen.,1711,2
0,Boekenveilingen.,1712,1
0,Boekenveilingen.,1713,4
0,Boekenveilingen.,1714,3
0,Boekenveilingen.,1715,3
0,Boekenveilingen.,1716,2
0,Boekenveilingen.,1717,2
0,Boekenveilingen.,1718,1
0,Boekenveilingen.,1719,1
0,Boekenveilingen.,1720,3
0,Boekenveilingen.,1721,1
0,Boekenveilingen.,1722,3
0,Boekenveilingen.,1723,3
0,Boekenveilingen.,1724,4
0,Boekenveilingen.,1725,4
0,Boekenveilingen.,1726,4
0,Boekenveilingen.,1727,5
0,Boekenveilingen.,1728,6
0,Boekenveilingen.,1729,4
0,Boekenveilingen.,1730,10
0,Boekenveilingen.,1731,6
0,Boekenveilingen.,1732,3
0,Boekenveilingen.,1733,1
0,Boekenveilingen.,1734,3
0,Boekenveilingen.,1735,3
0,Boekenveilingen.,1736,5
0,Boekenveilingen.,1737,7
0,Boekenveilingen.,1738,2
0,Boekenveilingen.,1739,4
0,Boekenveilingen.,1740,11
0,Boekenveilingen.,1741,5
0,Boekenveilingen.,1742,6
0,Boekenveilingen.,1743,10
0,Boekenveilingen.,1744,9
0,Boekenveilingen.,1745,7
0,Boekenveilingen.,1746,10
0,Boekenveilingen.,1747,8
0,Boekenveilingen.,1748,14
0,Boekenveilingen.,1749,12
0,Boekenveilingen.,1750,7
0,Boekenveilingen.,1751,10
0,Boekenveilingen.,1752,8
0,Boekenveilingen.,1753,8
0,Boekenveilingen.,1754,9
0,Boekenveilingen.,1755,13
0,Boekenveilingen.,1756,9
0,Boekenveilingen.,1757,10
0,Boekenveilingen.,1758,14
0,Boekenveilingen.,1759,10
0,Boekenveilingen.,1760,8
0,Boekenveilingen.,1761,20
0,Boekenveilingen.,1762,11
0,Boekenveilingen.,1763,14
0,Boekenveilingen.,1764,9
0,Boekenveilingen.,1765,19
0,Boekenveilingen.,1766,9
0,Boekenveilingen.,1767,19
0,Boekenveilingen.,1768,15
0,Boekenveilingen.,1769,16
0,Boekenveilingen.,1770,14
0,Boekenveilingen.,1771,14
0,Boekenveilingen.,1772,20
0,Boekenveilingen.,1773,10
0,Boekenveilingen.,1774,14
0,Boekenveilingen.,1775,4
0,Boekenveilingen.,1776,16
0,Boekenveilingen.,1777,10
0,Boekenveilingen.,1778,18
